load,side,target,letter1,letter2,letter3,letter4,letter5,letter6,distractor_appears,distr
high,down,N,K,M,H,W,N,V,0,distr/krosh.png
high,down,N,M,W,K,V,H,N,0,distr/losyash.png
high,down,N,W,V,M,N,K,H,0,distr/pin.png
high,down,N,V,N,W,H,M,K,0,distr/kopatych.png
high,down,N,N,H,V,K,W,M,0,distr/sovunya.png
high,down,N,H,K,N,M,V,W,0,distr/nyusha.png
high,down,N,K,M,H,W,N,V,0,distr/ezhik.png
high,down,N,M,W,K,V,H,N,0,distr/barash.png
high,down,N,W,V,M,N,K,H,0,distr/karych.png
high,down,N,V,N,W,H,M,K,0,distr/krosh.png
high,down,N,N,H,V,K,W,M,0,distr/losyash.png
high,down,N,H,K,N,M,V,W,0,distr/pin.png
high,down,N,K,M,H,W,N,V,0,distr/kopatych.png
high,down,N,M,W,K,V,H,N,0,distr/sovunya.png
high,down,N,W,V,M,N,K,H,0,distr/nyusha.png
high,down,N,V,N,W,H,M,K,0,distr/ezhik.png
high,down,N,N,H,V,K,W,M,0,distr/barash.png
high,down,N,K,M,H,W,N,V,0,distr/karych.png
high,down,N,M,W,K,V,H,N,0,distr/krosh.png
high,down,N,W,V,M,N,K,H,0,distr/losyash.png
